mode,precision,N,IT,total_write,total_kernel,total_read,write_f,write_tmp,write_u 
opencl_V2,double,1024,10,0.923,0.608,0.859,0.319,0.302,0.301
opencl_V2,double,1024,10,1.086,0.603,0.843,0.421,0.362,0.303
opencl_V2,double,1024,10,1.146,0.625,0.848,0.484,0.339,0.324
opencl_V2,double,1024,10,1.068,0.633,0.855,0.446,0.321,0.301
opencl_V2,double,1024,10,1.062,0.644,0.950,0.375,0.355,0.331
opencl_V2,double,1024,10,0.927,0.637,0.811,0.322,0.304,0.301
opencl_V2,double,1024,10,0.966,0.641,0.895,0.313,0.347,0.305
opencl_V2,double,1024,10,0.929,0.582,0.899,0.317,0.308,0.303
opencl_V2,double,1024,10,1.094,0.580,0.980,0.482,0.308,0.303
opencl_V2,double,1024,10,1.020,0.615,0.822,0.414,0.305,0.302
opencl_V2,float,1024,10,0.357,0.549,0.647,0.120,0.119,0.118
opencl_V2,float,1024,10,0.577,0.592,0.736,0.119,0.340,0.118
opencl_V2,float,1024,10,0.680,0.588,0.963,0.120,0.441,0.119
opencl_V2,float,1024,10,0.665,0.546,0.594,0.124,0.405,0.137
opencl_V2,float,1024,10,0.582,0.573,0.707,0.121,0.344,0.118
opencl_V2,float,1024,10,0.634,0.572,1.191,0.123,0.392,0.120
opencl_V2,float,1024,10,0.611,0.573,0.778,0.250,0.242,0.119
opencl_V2,float,1024,10,0.633,0.566,0.702,0.120,0.394,0.119
opencl_V2,float,1024,10,0.361,0.562,0.627,0.121,0.118,0.121
opencl_V2,float,1024,10,0.362,0.582,0.549,0.122,0.119,0.121
opencl_V2,double,1024,100,1.110,5.266,0.954,0.449,0.330,0.331
opencl_V2,double,1024,100,1.024,5.176,0.872,0.405,0.309,0.310
opencl_V2,double,1024,100,0.975,5.182,0.925,0.372,0.302,0.301
opencl_V2,double,1024,100,0.935,5.214,0.828,0.330,0.304,0.301
opencl_V2,double,1024,100,0.946,5.178,0.838,0.323,0.318,0.305
opencl_V2,double,1024,100,1.052,5.241,1.021,0.344,0.396,0.312
opencl_V2,double,1024,100,1.141,5.201,0.845,0.438,0.307,0.396
opencl_V2,double,1024,100,0.931,5.253,0.804,0.320,0.303,0.308
opencl_V2,double,1024,100,1.052,5.194,0.865,0.444,0.307,0.302
opencl_V2,double,1024,100,1.000,5.199,0.976,0.379,0.317,0.305
opencl_V2,float,1024,100,0.635,4.542,1.012,0.169,0.344,0.121
opencl_V2,float,1024,100,1.352,5.057,0.720,0.450,0.450,0.452
opencl_V2,float,1024,100,0.356,4.725,0.754,0.118,0.118,0.120
opencl_V2,float,1024,100,0.361,4.547,1.063,0.120,0.121,0.120
opencl_V2,float,1024,100,0.526,4.697,0.648,0.156,0.252,0.118
opencl_V2,float,1024,100,0.511,4.694,0.981,0.126,0.253,0.132
opencl_V2,float,1024,100,0.631,4.625,0.470,0.132,0.367,0.132
opencl_V2,float,1024,100,0.607,4.575,0.630,0.121,0.367,0.119
opencl_V2,float,1024,100,0.361,4.521,0.727,0.120,0.120,0.121
opencl_V2,float,1024,100,0.626,4.624,0.721,0.124,0.383,0.119
opencl_V2,double,1024,1000,0.975,51.476,0.902,0.347,0.316,0.311
opencl_V2,double,1024,1000,1.169,51.324,0.926,0.472,0.396,0.302
opencl_V2,double,1024,1000,1.029,51.406,0.902,0.363,0.338,0.329
opencl_V2,double,1024,1000,0.932,51.417,0.941,0.328,0.302,0.301
opencl_V2,double,1024,1000,0.969,51.460,0.909,0.325,0.317,0.327
opencl_V2,double,1024,1000,1.070,51.381,0.907,0.448,0.321,0.302
opencl_V2,double,1024,1000,0.995,51.367,0.950,0.383,0.307,0.306
opencl_V2,double,1024,1000,1.059,51.503,0.932,0.420,0.337,0.302
opencl_V2,double,1024,1000,1.106,51.275,0.886,0.451,0.320,0.336
opencl_V2,double,1024,1000,1.099,51.324,0.885,0.481,0.315,0.304
opencl_V2,float,1024,1000,0.609,45.426,0.769,0.121,0.369,0.119
opencl_V2,float,1024,1000,0.646,45.345,0.763,0.108,0.410,0.128
opencl_V2,float,1024,1000,0.605,44.445,0.843,0.130,0.356,0.120
opencl_V2,float,1024,1000,0.631,45.466,0.748,0.119,0.394,0.118
opencl_V2,float,1024,1000,0.702,45.391,0.716,0.120,0.460,0.122
opencl_V2,float,1024,1000,0.609,44.304,0.696,0.102,0.387,0.119
opencl_V2,float,1024,1000,0.368,45.251,1.287,0.122,0.119,0.127
opencl_V2,float,1024,1000,0.605,45.425,0.850,0.118,0.366,0.120
opencl_V2,float,1024,1000,0.378,45.761,0.788,0.121,0.118,0.139
opencl_V2,float,1024,1000,0.363,45.371,0.432,0.120,0.122,0.122
opencl_V2,double,2048,10,6.344,2.945,2.899,2.115,2.114,2.115
opencl_V2,double,2048,10,3.767,2.499,2.578,1.385,1.191,1.191
opencl_V2,double,2048,10,3.761,2.685,3.024,1.336,1.216,1.209
opencl_V2,double,2048,10,3.901,2.737,2.860,1.382,1.282,1.237
opencl_V2,double,2048,10,3.680,2.529,2.751,1.253,1.206,1.221
opencl_V2,double,2048,10,3.692,2.491,2.844,1.246,1.201,1.245
opencl_V2,double,2048,10,3.818,2.786,2.823,1.339,1.288,1.191
opencl_V2,double,2048,10,3.911,2.482,3.742,1.274,1.201,1.437
opencl_V2,double,2048,10,4.057,2.596,2.990,1.390,1.214,1.452
opencl_V2,double,2048,10,3.667,2.540,2.863,1.253,1.210,1.204
opencl_V2,float,2048,10,1.901,2.045,1.406,0.700,0.603,0.598
opencl_V2,float,2048,10,1.979,2.065,1.392,0.735,0.646,0.598
opencl_V2,float,2048,10,1.913,1.990,1.423,0.716,0.598,0.598
opencl_V2,float,2048,10,1.893,2.091,1.611,0.690,0.600,0.603
opencl_V2,float,2048,10,1.830,1.992,1.470,0.632,0.600,0.598
opencl_V2,float,2048,10,2.005,2.110,1.391,0.808,0.600,0.598
opencl_V2,float,2048,10,1.884,2.009,1.527,0.646,0.635,0.603
opencl_V2,float,2048,10,1.900,1.978,1.597,0.679,0.604,0.617
opencl_V2,float,2048,10,1.890,2.082,1.446,0.692,0.599,0.598
opencl_V2,float,2048,10,1.969,1.989,1.473,0.689,0.682,0.598
opencl_V2,double,2048,100,3.697,24.362,2.934,1.282,1.225,1.191
opencl_V2,double,2048,100,3.739,24.348,2.912,1.294,1.197,1.249
opencl_V2,double,2048,100,3.819,24.167,2.838,1.420,1.207,1.191
opencl_V2,double,2048,100,3.650,24.267,2.867,1.240,1.203,1.206
opencl_V2,double,2048,100,3.868,24.331,2.866,1.352,1.324,1.191
opencl_V2,double,2048,100,3.804,25.689,3.008,1.302,1.295,1.207
opencl_V2,double,2048,100,3.790,24.146,2.850,1.408,1.191,1.191
opencl_V2,double,2048,100,3.852,24.230,2.890,1.391,1.191,1.270
opencl_V2,double,2048,100,3.732,24.278,3.178,1.341,1.199,1.192
opencl_V2,double,2048,100,3.798,24.725,3.169,1.380,1.216,1.201
opencl_V2,float,2048,100,1.863,18.549,1.564,0.652,0.613,0.598
opencl_V2,float,2048,100,1.996,18.629,1.571,0.749,0.601,0.646
opencl_V2,float,2048,100,1.981,18.615,1.477,0.681,0.598,0.702
opencl_V2,float,2048,100,1.897,18.647,1.636,0.684,0.600,0.613
opencl_V2,float,2048,100,1.827,18.572,1.536,0.628,0.601,0.598
opencl_V2,float,2048,100,1.909,18.504,1.658,0.712,0.599,0.598
opencl_V2,float,2048,100,1.849,18.584,1.715,0.651,0.600,0.598
opencl_V2,float,2048,100,1.888,18.595,1.633,0.644,0.604,0.640
opencl_V2,float,2048,100,1.951,18.589,1.511,0.745,0.608,0.598
opencl_V2,float,2048,100,2.004,18.536,1.821,0.730,0.673,0.601
opencl_V2,double,2048,1000,4.911,240.980,2.923,1.680,1.765,1.467
opencl_V2,double,2048,1000,3.776,250.900,2.982,1.394,1.191,1.191
opencl_V2,double,2048,1000,3.723,242.518,3.148,1.300,1.217,1.206
opencl_V2,double,2048,1000,3.647,240.309,2.866,1.259,1.197,1.191
opencl_V2,double,2048,1000,3.710,241.775,3.665,1.317,1.202,1.191
opencl_V2,double,2048,1000,6.348,240.598,2.914,2.115,2.114,2.119
opencl_V2,double,2048,1000,4.076,240.320,2.910,1.560,1.199,1.318
opencl_V2,double,2048,1000,3.736,242.080,2.880,1.332,1.191,1.212
opencl_V2,double,2048,1000,4.445,246.738,3.067,1.724,1.356,1.364
opencl_V2,double,2048,1000,3.978,240.314,3.044,1.540,1.247,1.191
opencl_V2,float,2048,1000,3.198,185.257,1.758,1.067,1.066,1.065
opencl_V2,float,2048,1000,1.966,184.161,1.691,0.768,0.599,0.598
opencl_V2,float,2048,1000,1.836,184.397,1.469,0.636,0.601,0.598
opencl_V2,float,2048,1000,1.918,185.029,1.575,0.716,0.604,0.598
opencl_V2,float,2048,1000,2.040,185.099,1.530,0.666,0.772,0.602
opencl_V2,float,2048,1000,1.947,185.708,1.833,0.743,0.602,0.601
opencl_V2,float,2048,1000,1.969,184.473,1.611,0.769,0.602,0.598
opencl_V2,float,2048,1000,1.882,184.542,1.500,0.681,0.601,0.599
opencl_V2,float,2048,1000,1.893,185.500,1.485,0.670,0.608,0.615
opencl_V2,float,2048,1000,1.914,184.415,1.931,0.716,0.600,0.598
